,year,neighbourhood,population,% spaniards,% strangers,% w/ higher education,unemployed,total_surface(m2),housing(m2),parking(m2),commerce(m2),industry(m2),offices(m2),education(m2),healthcare(m2),hostelry(m2),sports(m2),religious(m2),entertainment(m2),other_uses(m2),avg_€/month,avg_€/m2,avg_housing(m2),new_contracts_1000_hab,expired_contracts_1000_hab,win_lost_rents_1000_hab,binary_rent_growth_1000_hab
0,2009,Baró de Viver,2372.0,92.7,7.3,,,110971,80163,10269,11414,2004,707,5883,0,0,0.0,224,0.0,307,,,,32.8836424957841,40.0505902192243,-7.166947723440195,0.0
1,2009,Can Baró,9159.0,86.2,13.8,,,410247,316139,28780,22886,25952,3677,8613,1256,1778,1112.0,0,0.0,54,787.0,11.93,65.96814752724225,56.1196637187466,56.2288459438803,-0.10918222513370068,0.0
2,2009,Can Peguera,2210.0,96.3,3.7,,,67195,54156,3910,2907,533,0,5315,0,0,0.0,374,0.0,0,,,,65.6108597285068,36.1990950226244,29.411764705882398,1.0
3,2009,Canyelles,7359.0,95.3,4.7,,,303783,240025,8142,9562,22129,7034,7828,1768,628,6198.0,105,0.0,364,776.0,10.2,76.07843137254902,26.226389455089,32.8849028400598,-6.658513384970803,0.0
4,2009,Ciutat Meridiana,11355.0,64.5,35.5,,,277044,233846,2009,10199,7813,2279,15732,456,2486,1232.0,992,0.0,0,704.0,10.72,65.67164179104478,93.8793483047116,99.2514310876266,-5.372082782915001,0.0
5,2009,Diagonal Mar i el Front Marítim del Poblenou,11132.0,84.0,16.0,,,1218489,429746,339491,125528,30927,127468,3250,0,77842,27951.0,0,56166.0,120,1.125,14.79,0.07606490872210954,89.5616241466044,47.6104922745239,41.9511318720805,1.0
6,2009,Horta,27909.0,90.7,9.3,,,1415297,895799,142740,95312,73583,13154,48264,34200,4807,83899.0,18159,5124.0,256,777.0,11.75,66.12765957446808,50.3063527894228,49.7688917553477,0.5374610340751005,1.0
7,2009,Hostafrancs,16208.0,78.6,21.4,,,1019066,543865,110775,112542,98256,47938,23849,967,63513,11863.0,2478,3020.0,0,824.0,12.91,63.8264910921766,71.8780848963475,69.5952615992103,2.282823297137199,1.0
8,2009,Montbau,5261.0,89.8,10.2,,,547580,157523,29467,9402,47834,11425,108398,157051,2513,17628.0,6339,0.0,0,817.0,11.73,69.65046888320545,55.5027561300133,41.8171450294621,13.685611100551206,1.0
9,2009,Navas,21858.0,85.6,14.4,,,1057451,749901,115549,96811,57821,11504,12121,742,3732,1185.0,4563,3087.0,435,863.0,11.77,73.32200509770604,56.2723030469393,49.2725775459786,6.9997255009607,1.0
10,2009,Pedralbes,11650.0,83.9,16.1,,,1536019,769908,160682,28566,50069,55090,275275,5452,18853,38182.0,26877,1158.0,105907,1.295,14.21,0.09113300492610836,47.2103004291845,44.3776824034335,2.832618025751003,1.0
11,2009,Porta,23993.0,86.3,13.7,,,1211324,733496,219104,134033,53972,9376,16973,779,22073,5111.0,2527,10555.0,3325,767.0,11.79,65.0551314673452,64.2687450506398,59.100570999875,5.16817405076479,1.0
12,2009,Provençals del Poblenou,19542.0,86.6,13.4,,,1203942,638129,86534,71151,308764,58212,18481,908,13561,84.0,1862,0.0,6256,986.0,13.31,74.07963936889557,59.0522976153925,49.1249616211237,9.927335994268795,1.0
13,2009,Sant Andreu,55813.0,91.4,8.6,,,2827818,1900059,302152,232181,237551,28591,52893,18094,10866,29307.0,11917,1700.0,2507,829.0,11.73,70.67348678601876,48.6983319298371,46.0287029903428,2.6696289394943022,1.0
14,2009,Sant Antoni,38742.0,81.6,18.4,,,2419417,1627729,203400,230388,147417,102303,25118,24116,21080,13979.0,7693,11593.0,4601,963.0,13.09,73.56760886172651,61.6901553869186,64.4003923390635,-2.7102369521449035,0.0
15,2009,Sant Genís dels Agudells,7228.0,86.8,13.2,,,360631,247647,26323,16488,13406,3421,31866,4291,1051,9949.0,4804,1385.0,0,751.0,11.1,67.65765765765767,58.245711123409,49.8063087991146,8.439402324294399,1.0
16,2009,Sant Gervasi - Galvany,46829.0,88.6,11.4,,,5098623,3097069,572499,365564,220541,503050,89853,83108,72481,27083.0,30976,24616.0,11783,1.209,14.18,0.08526093088857546,44.5877554506823,47.6627730679707,-3.0750176172883954,0.0
